,YearsCodePro,PreviousSalary,ComputerSkills,YearsCodeBeforePro,LabelEmploymentStatus
680,3,7200.0,8,5,0
681,2,3770.0,5,3,0
682,35,160000.0,15,6,1
683,2,57312.0,22,6,1
684,2,68000.0,6,2,0
685,20,144000.0,24,15,1
687,2,15682.0,1,3,0
689,16,49119.0,10,22,1
690,10,33732.0,11,7,0
692,3,63036.0,11,1,0
693,3,25944.0,8,4,0
694,7,16080.0,15,6,1
695,1,90000.0,31,9,1
696,10,111694.0,10,5,0
698,1,60000.0,16,2,1
699,7,32736.0,6,8,0
700,26,150000.0,13,4,0
701,3,60972.0,14,4,0
702,11,23735.0,13,5,0
703,6,62481.0,9,10,1
704,8,24540.0,20,1,1
705,3,31400.0,11,3,0
706,23,150000.0,16,14,1
707,1,5868.0,22,5,1
709,8,29320.0,13,2,0
710,11,105000.0,8,2,0
711,12,134430.0,5,8,0
713,17,71340.0,9,4,0
714,16,41077.0,12,23,1
715,3,70000.0,12,7,1
716,12,59454.0,5,13,0
717,3,15672.0,14,1,1
718,26,45401.0,9,12,0
719,6,34904.0,22,6,1
720,4,172950.0,17,4,1
721,8,150000.0,15,8,1
722,0,11328.0,12,2,1
723,6,47826.0,15,1,1
726,21,81074.0,28,14,1
727,2,6108.0,9,3,0
728,35,162147.0,4,12,0
729,9,41568.0,24,3,1
731,20,95000.0,18,6,1
732,9,57292.0,9,4,0
733,3,7679.0,15,2,1
734,0,9862.0,10,5,0
735,4,16035.0,3,6,0
737,23,51372.0,7,13,0
738,4,55967.0,18,2,1
740,13,59676.0,16,5,1
741,5,40248.0,8,5,1
742,16,59459.0,10,7,1
743,35,54070.0,3,7,0
744,1,16284.0,27,12,1
745,16,47532.0,8,5,0
746,2,64860.0,16,6,0
747,10,155000.0,21,5,1
748,4,32429.0,11,4,1
751,7,15888.0,22,5,1
752,1,6696.0,14,3,1
753,5,66828.0,7,8,0
754,10,75937.0,26,5,1
755,0,98064.0,10,4,0
756,2,2508.0,18,4,1
757,11,118919.0,5,2,0
759,14,130000.0,14,11,0
760,11,54480.0,21,14,1
761,15,89568.0,11,10,1
762,9,81074.0,20,4,1
763,15,115000.0,13,3,1
764,0,38778.0,2,5,0
766,9,150000.0,5,2,0
769,21,77832.0,22,4,1
771,7,85397.0,4,8,0
772,2,123000.0,15,14,0
773,10,97288.0,5,2,0
774,13,105000.0,13,6,1
775,2,3686.0,7,10,0
776,7,55000.0,11,11,0
778,10,90758.0,14,3,0
780,0,9773.0,19,8,1
781,7,32429.0,11,8,1
782,31,82000.0,8,3,1
783,5,76000.0,24,3,1
784,5,8517.0,8,4,0
786,9,28860.0,15,9,0
787,12,11832.0,11,2,0
788,1,25131.0,16,3,1
789,16,77832.0,15,2,1
790,7,55582.0,17,3,1
791,5,120000.0,20,7,1
792,2,31020.0,10,10,1
793,11,43404.0,14,5,0
794,13,97000.0,25,12,1
795,3,25944.0,13,7,1
797,10,25131.0,12,6,0
798,6,54972.0,25,4,1
799,20,75669.0,9,10,0
800,3,30267.0,5,6,0
801,4,41077.0,19,3,1
802,4,11868.0,26,1,1
804,6,96808.0,9,8,0
805,4,67092.0,21,3,1
806,4,76000.0,7,7,0
807,1,79344.0,11,5,0
808,1,40086.0,20,23,1
809,10,30000.0,10,10,1
810,28,170000.0,7,12,0
811,3,26484.0,9,4,0
812,2,37834.0,11,4,1
814,16,25428.0,10,4,0
817,4,12230.0,8,3,0
818,5,8376.0,14,6,1
819,8,150000.0,5,7,0
820,8,36300.0,8,8,0
821,1,3372.0,15,4,1
824,22,23352.0,5,3,1
825,11,77556.0,12,3,1
826,20,56723.0,14,10,1
827,5,75631.0,11,1,0
828,5,103000.0,10,5,1
829,6,95000.0,8,9,1
831,5,82464.0,15,1,1
833,4,6432.0,26,4,1
834,5,75631.0,14,5,0
835,13,84316.0,14,2,1
836,2,19452.0,14,18,1
837,16,142308.0,17,5,0
839,1,10810.0,6,14,0
840,2,60535.0,20,8,1
841,6,37000.0,20,4,0
842,4,60000.0,11,6,1
843,5,79956.0,13,17,1
844,12,160000.0,10,2,0
845,3,23782.0,9,2,0
846,5,86976.0,14,6,0
847,5,17100.0,3,5,0
848,20,64859.0,14,3,1
849,4,33504.0,28,2,1
852,6,12324.0,16,5,1
853,2,86000.0,5,5,0
854,18,193052.0,4,17,0
855,5,42158.0,11,7,0
856,5,60505.0,22,12,1
857,6,18156.0,15,4,1
859,8,73741.0,15,5,0
860,8,62697.0,11,1,1
861,11,65976.0,15,9,0
862,2,27492.0,14,5,1
863,7,37834.0,7,5,1
864,8,9180.0,13,4,1
865,16,148000.0,12,8,0
867,9,51704.0,21,31,1
868,8,43239.0,6,3,0
869,16,85650.0,9,10,1
870,4,24696.0,21,3,1
871,4,18684.0,9,7,0
873,2,179000.0,9,8,0
874,18,210050.0,7,2,0
875,15,157596.0,7,15,0
876,8,108098.0,13,4,0
877,6,45564.0,14,4,1
878,1,1680.0,17,3,1
